2400
(-8.000000, -4.000000, -256.000000) (-9.000000, -4.000000, -256.000000) (0.000000, 0.000000) 
(-9.000000, -3.000000, -243.000000) (-9.000000, -4.000000, -243.000000) (0.000000, 0.000000) 
(-9.000000, -3.000000, -243.000000) (-9.000000, -4.000000, -243.000000) (0.000000, 0.000000) 
(-8.000000, -4.000000, -256.000000) (-9.000000, -4.000000, -256.000000) (0.000000, 0.000000) 
(-8.000000, -3.000000, -192.000000) (-9.000000, -4.000000, -192.000000) (0.000000, 0.000000) 
(-9.000000, -3.000000, -243.000000) (-9.000000, -3.000000, -243.000000) (0.000000, 0.000000) 
(-8.000000, -3.000000, -192.000000) (-9.000000, -3.000000, -192.000000) (0.000000, 0.000000) 
(-9.000000, -2.000000, -162.000000) (-9.000000, -3.000000, -162.000000) (0.000000, 0.000000) 
(-9.000000, -2.000000, -162.000000) (-9.000000, -3.000000, -162.000000) (0.000000, 0.000000) 
(-8.000000, -3.000000, -192.000000) (-9.000000, -3.000000, -192.000000) (0.000000, 0.000000) 
(-8.000000, -2.000000, -128.000000) (-9.000000, -3.000000, -128.000000) (0.000000, 0.000000) 
(-9.000000, -2.000000, -162.000000) (-9.000000, -2.000000, -162.000000) (0.000000, 0.000000) 
(-8.000000, -2.000000, -128.000000) (-9.000000, -2.000000, -128.000000) (0.000000, 0.000000) 
(-9.000000, -1.000000, -81.000000) (-9.000000, -2.000000, -81.000000) (0.000000, 0.000000) 
(-9.000000, -1.000000, -81.000000) (-9.000000, -2.000000, -81.000000) (0.000000, 0.000000) 
(-8.000000, -2.000000, -128.000000) (-9.000000, -2.000000, -128.000000) (0.000000, 0.000000) 
(-8.000000, -1.000000, -64.000000) (-9.000000, -2.000000, -64.000000) (0.000000, 0.000000) 
(-9.000000, -1.000000, -81.000000) (-9.000000, -1.000000, -81.000000) (0.000000, 0.000000) 
(-8.000000, -1.000000, -64.000000) (-9.000000, -1.000000, -64.000000) (0.000000, 0.000000) 
(-9.000000, 0.000000, 0.000000) (-9.000000, -1.000000, 0.000000) (0.000000, 0.000000) 
(-9.000000, 0.000000, 0.000000) (-9.000000, -1.000000, 0.000000) (0.000000, 0.000000) 
